smiles,c_index,x_index
BrC1=CC2=C(N3C(CC(OC)=O)CC2)C(NC(C3=O)=O)=C1,1,0
BrC1=CC=C2C(C(N(C)CC3=C(C(OCC)=O)N=CN23)=O)=C1,1,0
O=C1OC(C)(C)C(C2=CC=C(S(=O)(C)=O)C=C2)=C1OC3=CC=C(Br)C=N3,22,23
BrC1=CC=C(F)C2=C1CN(C(O[C@H]3CN(C(OC(C)(C)C)=O)[C@H](C(OC)=O)C3)=O)C2,1,0
BrC1=CC(C(C([C@H]2N(C(OCC3=CC=CC=C3)=O)CCC2)=O)=CN4)=C4C=C1,1,0
BrC(C=N1)=CC(CCC2=C/3C=CC(Cl)=C2)=C1C3=C4CCN(C(OCC)=O)CC/4,1,0
BrC1=CC(F)=CC2=C1N(CC3=CC=C(Cl)C=C3)C4=C2CC[C@@H]4CC(O)=O,1,0
BrC1=CC=CC2=C1CN(C(O[C@@H]3C[C@@H](C(OC)=O)N(C(OCC4=CC=CC=C4)=O)C3)=O)C2,1,0
FC1=CC(OC2CCN(C3=NOC(C4=NN(CC(O)=O)N=N4)=C3)CC2)=C(Br)C=C1,25,26
BrC1=NC(C(NCC2=CC=C(F)C=C2)=O)=C(O)C3=NC=CC=C31,1,0
CC1=CC(C#N)=CC(C)=C1OC2=NC(NC3=CC=C(C#N)C=C3)=NC(N)=C2Br,26,27
O=C1C2=C(N=C(N[C@@H]3CCC[C@H]3O)N2CC4=CC=C(OC)C(Br)=C4)N(CCO)C(N1CC)=O,21,22
BrC1=CSC([C@]2(C)CC(N(C)/C(N2)=N\C(OC(C)(C)C)=O)=O)=C1,1,0
IC1=C(F)C=C(N2C[C@H](CN3C=CN=N3)OC2=O)C=C1,1,0
IC1=CC=C(N=C(CCC)N(CC2=CC=C(C3=C(S(=O)(NC(C)(C)C)=O)C=CC=C3)C=C2)C4=O)C4=C1,1,0
ClC1=CC2=C([C@H](C(NC(C)=O)(C)C)CC23CCN(C(OC(C)(C)C)=O)CC3)C=C1C,1,0
ClC1=CC=C(NC(O[C@]2(C#CC3CC3)C(F)(F)F)=O)C2=C1,1,0
CC(C)(C)SC1=C(CC(C)(C)C(OC)=O)N(CC2=CC=C(Cl)C=C2)C(C1=C3)=CC=C3OCC4=NC5=CC=CC=C5C=C4,20,21
